s2_token,geometry,confidence_threshold_80%_precision,confidence_threshold_85%_precision,confidence_threshold_90%_precision,building_count_80%_precision,building_count_85%_precision,building_count_90%_precision,building_count,num_samples
69b,"POLYGON ((140.0187653410811 -8.175896074358709, 140.0187653410811 -12.81566331979315, 145.4914770123316 -13.74670252512002, 145.4914770123316 -8.783194988097531, 140.0187653410811 -8.175896074358709))",0.769,0.795,0.813,55443,45077,37903,96228,241
175,"POLYGON ((22.61986494804042 0, 28.67314648943499 0, 28.67314648943499 4.442038523400337, 22.61986494804043 4.67244275538945, 22.61986494804042 0))",0.650,0.659,0.718,1548518,1513643,1214958,1549919,5800
16b,"POLYGON ((22.61986494804043 15.32501998539171, 28.67314648943499 14.59941342503042, 28.67314648943499 20.08096213071963, 22.61986494804042 21.03751102542181, 22.61986494804043 15.32501998539171))",0.668,0.668,0.668,78690,78690,78690,85446,74
33d,"POLYGON ((112.6198649480404 9.8193006387579, 118.673146489435 9.341889685888818, 118.673146489435 14.59941342503042, 112.6198649480404 15.32501998539171, 112.6198649480404 9.8193006387579))",0.668,0.668,0.668,36595,36595,36595,38837,49
00d,"POLYGON ((-39.98123465891889 -22.73590953009369, -34.5085229876684 -24.25860976441469, -34.5085229876684 -18.9499500044539, -39.98123465891889 -17.70687285471333, -39.98123465891889 -22.73590953009369))",0.734,0.799,0.837,152280,106605,68463,193516,322
1b9,"POLYGON ((10.61965527615513 -22.27057548800819, 16.53483785734516 -21.77355606643973, 16.53483785734515 -15.88626236166589, 10.61965527615513 -16.26672649011948, 10.61965527615513 -22.27057548800819))",0.691,0.723,0.782,1882342,1483526,711022,2294452,6372
117,"POLYGON ((10.61965527615513 16.26672649011948, 16.53483785734515 15.88626236166589, 16.53483785734516 21.77355606643973, 10.61965527615513 22.27057548800819, 10.61965527615513 16.26672649011948))",0.663,0.663,0.789,23229,23229,5294,25684,113
969,"POLYGON ((-73.46516214265485 -27.66622518241585, -73.46516214265485 -33.38766721236327, -67.38013505195958 -32.39984017391932, -67.38013505195958 -26.7849955075022, -73.46516214265485 -27.66622518241585))",0.792,0.818,0.848,1373718,997486,576864,3011713,9108
3af,"POLYGON ((79.38034472384487 4.973642825000524, 84.94013115373588 5.040252729758283, 84.94013115373588 10.57920733737058, 79.38034472384487 10.44179817172576, 79.38034472384487 4.973642825000524))",0.699,0.751,0.810,8433245,6460628,3888772,10066838,14797
33b,"POLYGON ((118.673146489435 9.341889685888818, 124.5085229876684 8.783194988097531, 124.5085229876684 13.74670252512002, 118.673146489435 14.59941342503042, 118.673146489435 9.341889685888818))",0.754,0.799,0.849,5955766,3723338,1679313,10854108,6564
323,"POLYGON ((112.6198649480404 4.67244275538945, 118.673146489435 4.442038523400337, 118.673146489435 9.341889685888818, 112.6198649480404 9.8193006387579, 112.6198649480404 4.67244275538945))",0.784,0.845,0.920,974199,556650,81490,1675144,4340
