,,,,,,Leptic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Petroduric,Duric,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gypsic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Petrocalcic,Calcic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hydragric,Anthraquic,Irragric,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Pellic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chromic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Haplic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Supplementary qualifiers,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Albic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Aric,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chernic,Mollic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Dolomitic,Calcaric,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Drainic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hypereutric,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ferric,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fractic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gilgaic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gleyic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Grumic,Mazic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gypsiric,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Humic,Ochric,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Magnesic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mesotrophic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Novic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Raptic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Skeletic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Stagnic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sulfidic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Technic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Thionic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toxic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,SOLONCHAKS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Principal qualifiers,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Petrosalic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gleyic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Stagnic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mollic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sodic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gypsic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Petrocalcic,Calcic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fluvic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Haplic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Supplementary qualifiers,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Aceric,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Alcalic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Arenic,Clayic,Loamic,Siltic,,,,,,,,,,,,,,,,,,,,,
,,,,,,Carbonatic,Chloridic,Sulfatic,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Colluvic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Densic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Dolomitic,Calcaric,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Drainic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Duric,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Evapocrustic,Puffic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Folic,Histic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fractic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gelic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gypsiric,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Humic,Ochric,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Novic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Oxyaquic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Raptic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hypersalic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Skeletic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sulfidic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Takyric,Yermic,Aridic,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Technic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toxic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Transportic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Turbic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vertic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GLEYSOLS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Principal qualifiers,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Thionic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Reductic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Subaquatic,Tidalic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hydragric,Anthraquic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Folic,Histic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Chernic,Mollic,Umbric,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Pisoplinthic,Plinthic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Stagnic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Oxygleyic,Reductigleyic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ferralic,Sideralic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gypsic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Calcic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Spodic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fluvic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Dolomitic,Calcaric,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Dystric,Eutric,,,,,,,,,,,,,,,,,,,,,,,
,,,,Supplementary qualifiers,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Abruptic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Acric,Lixic,Alic,Luvic,,,,,,,,,,,,,,,,,,,,,
,,,,,,Alcalic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Andic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Arenic,Clayic,Loamic,Siltic,,,,,,,,,,,,,,,,,,,,,
,,,,,,Aric,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Colluvic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Drainic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fractic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Gelic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Humic,Ochric,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Inclinic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Limnic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Nechic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Novic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Petrogleyic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Raptic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Relocatic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Salic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Skeletic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sodic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sulfidic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Takyric,Aridic,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Technic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Tephric,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Toxic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Turbic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Uterquic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vertic,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Vitric,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ANDOSOLS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Principal qualifiers,,,,,,,,,,,,,,,,,,,,,,,,,,
